Mean PM10 South,Mean Happiness South,,Mean PM10 North,Mean Happiness North
13.33589464,7.569090909,,14.93208209,7.349090909
14.46471955,7.620909091,,11.68254445,7.293636364
13.95755964,7.618181818,,11.66678891,7.268181818
13.71843491,7.651818182,,11.84982445,7.350909091
13.58053582,7.683636364,,12.28429009,7.238181818
14.93038018,7.449090909,,12.39231136,7.260909091
13.85413745,7.558181818,,15.63043273,7.34
13.98288818,7.597272727,,15.17220282,7.365454545
13.87756318,7.376363636,,14.75265564,7.225454545
12.79208227,7.533636364,,16.53448673,7.257272727
13.76543791,7.636363636,,14.65435218,7.480909091
16.08942355,7.560909091,,15.79441164,7.4
15.71751155,7.409090909,,14.67705491,7.154545455
15.50238309,7.631818182,,11.28491164,7.346363636
15.64254236,7.427272727,,11.12692918,7.398181818
15.067526,7.637272727,,12.18044964,7.361818182
15.71918609,7.576363636,,13.614118,7.365454545
11.36749809,7.578181818,,14.74855027,7.367272727
18.09332118,7.412727273,,11.05767082,7.314545455
17.10920827,7.422727273,,,
16.64272055,7.372727273,,,
18.20571,7.463636364,,,
15.599809,7.441818182,,,
19.32480318,7.172727273,,,
15.88215727,7.375454545,,,
18.11910127,7.423636364,,,
17.25456555,7.332727273,,,
17.74418191,7.239090909,,,
19.80490164,7.139090909,,,
19.29220055,7.315454545,,,
18.36209727,7.224545455,,,
16.19648218,7.499090909,,,
16.88161255,7.37,,,
16.49888,7.435454545,,,
17.29173691,7.485454545,,,
20.03440764,7.141818182,,,
20.11902718,7.333636364,,,
16.15225791,7.392727273,,,
18.96436255,7.186363636,,,
17.79949555,7.289090909,,,
17.06017209,7.423636364,,,
19.34542318,7.465454545,,,
18.10984391,7.419090909,,,
16.56146718,7.446363636,,,
19.01820045,7.267272727,,,
15.95166118,7.414545455,,,
20.11956745,7.411818182,,,
18.46817873,7.383636364,,,
18.04732282,7.366363636,,,
20.41808764,7.326363636,,,
