2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12.697298,11.671172,12.02437,11.65943,9.561299,10.374041,10.364576,10.313867,10.313888,7.691698,7.096811
11.587615,11.154289,11.780915,11.482967,9.569234,10.005981,9.711781,9.786075,9.855921,7.52793,6.238199
11.429955,11.177495,11.935885,11.598996,9.763349,9.960238,9.376079,9.689426,9.8244,7.372454,6.200082
11.801757,11.224591,11.69047,11.324311,9.597571,9.880472,9.635058,9.622972,9.860648,7.136995,6.503909
12.013074,11.349997,11.754341,11.349063,9.560203,9.939363,9.982373,9.80072,9.969797,7.273721,6.580701
6.741173,6.097443,6.805041,6.645327,5.272289,4.841524,4.955483,4.893342,4.396199,3.655,3.679318
7.778649,7.258972,7.880301,7.640973,7.435676,6.046663,5.742016,5.941624,5.546262,4.797936,4.988344
7.073636,6.487777,7.132762,7.116327,5.793008,5.1879,5.362772,5.305446,4.755851,3.794543,4.017995
6.918942,6.279927,6.943002,6.733833,5.333753,4.944704,4.935567,4.986809,4.57644,3.896946,3.833107
7.16262,6.4306,6.913896,6.987663,5.488137,4.945384,4.959353,5.097653,4.400559,4.003776,3.910269
7.453882,6.733076,7.253004,7.178965,5.75959,5.267375,5.168699,5.277567,4.750832,4.275195,4.092768
10.981309,10.18456,10.986115,10.672531,9.284601,9.641408,8.581427,7.586829,9.390714,6.346825,6.678769
11.856905,11.466946,12.97516,12.655265,9.822183,9.45488,8.432179,8.176033,9.839614,6.339562,6.807061
11.415274,10.666417,11.891852,11.436836,8.890357,8.803609,7.47476,7.453394,9.413161,6.212226,6.729083
9.946987,8.9166,9.474076,9.241777,7.746327,7.99622,6.773179,6.36045,8.516108,5.556098,5.864064
12.068928,11.408157,11.931731,11.720053,10.120427,10.945158,9.984603,8.67793,10.047943,7.039505,7.288921
9.603493,8.424706,8.769708,8.406763,6.851419,7.194795,5.821445,5.88263,7.910477,5.377293,5.85854
10.860747,10.07122,11.407763,11.110578,8.689769,8.576382,7.225144,7.092817,9.110422,5.936915,6.419283
11.069874,10.557053,11.215554,11.006564,9.747793,10.174698,9.207746,8.125841,9.633716,6.559545,6.668827
